# name,kind,label,seat_name,population,parent
卢森堡省 (Luxembourg Province),行省,-,卢森堡省会,3500000,莱茵-日耳曼邦联大区 (Rhine-Germania Confederation Region)
上奥地利省 (Upper Austria Province),行省,-,上奥地利省会,7800000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
蒂罗尔省 (Tyrol Province),行省,-,蒂罗尔省会,6200000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
波希米亚省 (Bohemia Province),行省,-,波希米亚省会,11000000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
摩拉维亚省 (Moravia Province),行省,-,布尔诺省会,7600000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
斯洛伐克省 (Slovakia Province),行省,-,布拉迪斯拉发省会,5400000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
匈牙利平原省 (Hungarian Plain Province),行省,-,佩奇省会,15000000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
斯洛文尼亚省 (Slovenia Province),行省,-,卢布尔雅那省会,3100000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
克罗地亚沿海省 (Croatia Coast Province),行省,-,克罗地亚沿海省会,4800000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
波斯尼亚省 (Bosnia Province),行省,-,萨拉热窝省会,3900000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
特兰西瓦尼亚省 (Transylvania Province),行省,-,锡比乌省会,9800000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
瓦拉几亚省 (Wallachia Province),行省,-,普洛耶什蒂省会,8900000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
保加利亚北部省 (Northern Bulgaria Province),行省,-,普列夫利亚省会,5100000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
索非亚谷地省 (Sofia Valley Province),行省,-,索非亚谷地省会,3700000,奥匈-多瑙河大区 (Austria-Hungary & Danubia Region)
马佐夫舍省 (Masovia Province),行省,-,马佐夫舍省会,12000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
大波兰省 (Greater Poland Province),行省,-,波兹南省会,8000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
西里西亚省 (Silesia Province),行省,-,卡托维兹省会,9000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
加利西亚省 (Galicia Province),行省,-,克拉科夫省会,11000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
波德拉谢省 (Podlasie Province),行省,-,波德拉谢省会,4500000,波兰-立陶宛大区 (Polonia-Lithuania Region)
热迈蒂亚省 (Samogitia Province),行省,-,热迈蒂亚省会,2500000,波兰-立陶宛大区 (Polonia-Lithuania Region)
拉脱维亚省 (Latvia Province),行省,-,拉脱维亚省会,6000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
爱沙尼亚省 (Estonia Province),行省,-,爱沙尼亚省会,3500000,波兰-立陶宛大区 (Polonia-Lithuania Region)
波列西耶省 (Polesia Province),行省,-,布列斯特省会,4200000,波兰-立陶宛大区 (Polonia-Lithuania Region)
第聂伯河西省 (West Dnieper Province),行省,-,切尔尼戈夫省会,5200000,波兰-立陶宛大区 (Polonia-Lithuania Region)
摩尔多瓦省 (Moldova Province),行省,-,基希讷乌省会,5000000,波兰-立陶宛大区 (Polonia-Lithuania Region)
克里米亚省 (Crimea Province),行省,-,塞瓦斯托波尔省会,3600000,波兰-立陶宛大区 (Polonia-Lithuania Region)
日德兰省 (Jutland Province),行省,-,日德兰省会,7200000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
西兰岛省 (Zealand Province),行省,-,西兰岛省会,6400000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
约塔兰省 (Götaland Province),行省,-,约塔兰省会,7600000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
斯维阿兰省 (Svealand Province),行省,-,斯维阿兰省会,7000000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
诺尔兰省 (Norrland Province),行省,-,诺尔兰省会,5000000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
挪威峡湾省 (Norwegian Fjord Province),行省,-,挪威峡湾省会,4500000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
特罗姆瑟省 (Tromsø Province),行省,-,特罗姆瑟省会,3800000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
芬兰湖区省 (Finnish Lakes Province),行省,-,芬兰湖区省会,4200000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
拉普兰省 (Lapland Province),行省,-,拉普兰省会,3600000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
冰岛省 (Iceland Province),行省,-,冰岛省会,2700000,斯堪的纳维亚-卡尔马大区 (Scandinavia-Kalmar Region)
卡斯蒂利亚省 (Castile Province),行省,-,卡斯蒂利亚省会,12000000,伊比利亚大区 (Iberian Union Region)
安达卢西亚省 (Andalusia Province),行省,-,塞维利亚省会,11000000,伊比利亚大区 (Iberian Union Region)
加利西亚省 (Galicia Province),行省,-,克拉科夫省会,6000000,伊比利亚大区 (Iberian Union Region)
阿斯图里亚斯省 (Asturias Province),行省,-,阿斯图里亚斯省会,5000000,伊比利亚大区 (Iberian Union Region)
巴斯克省 (Basque Province),行省,-,毕尔巴鄂省会,5200000,伊比利亚大区 (Iberian Union Region)
阿拉贡省 (Aragon Province),行省,-,萨拉戈萨省会,5500000,伊比利亚大区 (Iberian Union Region)
葡萄牙北部省 (Northern Portugal Province),行省,-,布拉加省会,7000000,伊比利亚大区 (Iberian Union Region)
阿连特茹省 (Alentejo Province),行省,-,埃武拉省会,4500000,伊比利亚大区 (Iberian Union Region)
巴利阿里群岛省 (Balearic Islands Province),行省,-,帕尔马省会,3800000,伊比利亚大区 (Iberian Union Region)
东南英格兰省 (South East England Province),行省,-,东南英格兰省会,14000000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
西南英格兰省 (South West England Province),行省,-,西南英格兰省会,9000000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
约克郡省 (Yorkshire Province),行省,-,约克郡省会,8500000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
高地与群岛省 (Highlands and Islands Province),行省,-,高地与群岛省会,4800000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
威尔士省 (Wales Province),行省,-,卡迪夫省会,4200000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
阿尔斯特省 (Ulster Province),行省,-,贝尔法斯特省会,5000000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
伦斯特省 (Leinster Province),行省,-,伦斯特省会,4500000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
芒斯特省 (Munster Province),行省,-,科克省会,3200000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
康诺特省 (Connacht Province),行省,-,戈尔韦省会,2600000,联合王国-凯尔特大区 (United Kingdom & Celtic Realm Region)
