# name,kind,label,seat_name,population,parent
日德兰副省区 (Jutland Subprefecture District),县,-,日德兰副副省会,3100000,日德兰省 (Jutland Province)
塞维利亚副省区 (Seville Subprefecture District),县,-,塞维利亚副副省会,5000000,安达卢西亚省 (Andalusia Province)
毕尔巴鄂副省区 (Bilbao Subprefecture District),县,-,毕尔巴鄂副副省会,2600000,巴斯克省 (Basque Province)
萨拉戈萨副省区 (Zaragoza Subprefecture District),县,-,萨拉戈萨副副省会,3000000,阿拉贡省 (Aragon Province)
布拉加副省区 (Braga Subprefecture District),县,-,布拉加副副省会,2400000,葡萄牙北部省 (Northern Portugal Province)
埃武拉副省区 (Évora Subprefecture District),县,-,埃武拉副副省会,1800000,阿连特茹省 (Alentejo Province)
帕尔马副省区 (Palma Subprefecture District),县,-,帕尔马副副省会,1700000,巴利阿里群岛省 (Balearic Islands Province)
卡迪夫副省区 (Cardiff Subprefecture District),县,-,卡迪夫副副省会,2200000,威尔士省 (Wales Province)
贝尔法斯特副省区 (Belfast Subprefecture District),县,-,贝尔法斯特副副省会,2600000,阿尔斯特省 (Ulster Province)
科克副省区 (Cork Subprefecture District),县,-,科克副副省会,1800000,芒斯特省 (Munster Province)
戈尔韦副省区 (Galway Subprefecture District),县,-,戈尔韦副副省会,1500000,康诺特省 (Connacht Province)
