# name,kind,label,seat_name,population,parent
波尔多副公社,县,副省会,-,500000,波尔多副省区 (Bordeaux Subprefecture District)
波尔多北公社,县,-,-,900000,波尔多副省区 (Bordeaux Subprefecture District)
波尔多南公社,县,-,-,800000,波尔多副省区 (Bordeaux Subprefecture District)
尼斯副公社,县,副省会,-,500000,尼斯副省区 (Nice Subprefecture District)
尼斯海岸公社,县,-,-,700000,尼斯副省区 (Nice Subprefecture District)
格勒诺布尔副公社,县,副省会,-,500000,格勒诺布尔副省区 (Grenoble Subprefecture District)
格勒诺布尔山地公社,县,-,-,600000,格勒诺布尔副省区 (Grenoble Subprefecture District)
第戎副公社,县,副省会,-,500000,第戎副省区 (Dijon Subprefecture District)
第戎葡萄公社,县,-,-,550000,第戎副省区 (Dijon Subprefecture District)
梅斯副公社,县,副省会,-,500000,梅斯副省区 (Metz Subprefecture District)
梅斯边境公社,县,-,-,500000,梅斯副省区 (Metz Subprefecture District)
奥尔良副公社,县,副省会,-,500000,奥尔良副省区 (Orleans Subprefecture District)
奥尔良河谷公社,县,-,-,800000,奥尔良副省区 (Orleans Subprefecture District)
巴黎公社,县,-,-,2200000,塞纳副省区 (Seine Subprefecture District)
凡尔赛公社,县,-,-,1400000,塞纳副省区 (Seine Subprefecture District)
勒阿弗尔公社,县,-,-,1200000,马恩副省区 (Marne Subprefecture District)
雷恩公社,县,-,-,1100000,雷恩副省区 (Rennes Subprefecture District)
波尔多公社,县,-,-,1500000,波尔多副省区 (Bordeaux Subprefecture District)
尼斯公社,县,-,-,1000000,尼斯副省区 (Nice Subprefecture District)
格勒诺布尔公社,县,-,-,900000,格勒诺布尔副省区 (Grenoble Subprefecture District)
第戎公社,县,-,-,800000,第戎副省区 (Dijon Subprefecture District)
梅斯公社,县,-,-,700000,梅斯副省区 (Metz Subprefecture District)
奥尔良公社,县,-,-,1200000,奥尔良副省区 (Orleans Subprefecture District)
巴伐利亚南部公社,县,省会,-,700000,巴伐利亚省 (Bavaria Province)
巴登-符腾堡公社,县,省会,-,700000,巴登-符腾堡省 (Baden-Württemberg Province)
莱茵中部公社,县,省会,-,700000,北莱茵省 (North Rhine Province)
汉诺威公社,县,省会,-,700000,下萨克森省 (Lower Saxony Province)
德累斯顿公社,县,省会,-,700000,萨克森省 (Saxony Province)
瑞士阿尔卑斯公社,县,省会,-,700000,瑞士阿尔卑斯省 (Swiss Alps Province)
苏黎世公社,县,省会,-,700000,苏黎世谷地省 (Zurich Valley Province)
鹿特丹公社,县,省会,-,700000,荷兰沿海省 (Netherlands Coast Province)
安特卫普公社,县,省会,-,700000,弗兰德斯省 (Flanders Province)
列日公社,县,省会,-,700000,瓦隆省 (Wallonia Province)
卢森堡公社,县,省会,-,700000,卢森堡省 (Luxembourg Province)
法兰克福公社,县,中心城市,-,1000000,法兰克福广域市 (Frankfurt Metropolitan City)
柏林公社,县,中心城市,-,1000000,柏林广域市 (Berlin Metropolitan City)
汉堡公社,县,中心城市,-,1000000,汉堡广域市 (Hamburg Metropolitan City)
慕尼黑公社,县,中心城市,-,1000000,慕尼黑广域市 (Munich Metropolitan City)
阿姆斯特丹公社,县,中心城市,-,1000000,阿姆斯特丹广域市 (Amsterdam Metropolitan City)
布鲁塞尔公社,县,中心城市,-,1000000,布鲁塞尔广域市 (Brussels Metropolitan City)
巴伐利亚南部副公社,县,副省会,-,500000,巴伐利亚南部副省区 (South Bavaria Subprefecture District)
慕尼黑南公社,县,-,-,1200000,巴伐利亚南部副省区 (South Bavaria Subprefecture District)
巴伐利亚北部副公社,县,副省会,-,500000,巴伐利亚北部副省区 (North Bavaria Subprefecture District)
纽伦堡公社,县,-,-,1100000,巴伐利亚北部副省区 (North Bavaria Subprefecture District)
莱茵中部副公社,县,副省会,-,500000,莱茵中部副省区 (Middle Rhine Subprefecture District)
科隆公社,县,-,-,1800000,莱茵中部副省区 (Middle Rhine Subprefecture District)
鲁尔副公社,县,副省会,-,500000,鲁尔副省区 (Ruhr Subprefecture District)
多特蒙德公社,县,-,-,1600000,鲁尔副省区 (Ruhr Subprefecture District)
汉诺威副公社,县,副省会,-,500000,汉诺威副省区 (Hannover Subprefecture District)
汉诺威公社,县,-,-,1300000,汉诺威副省区 (Hannover Subprefecture District)
德累斯顿副公社,县,副省会,-,500000,德累斯顿副省区 (Dresden Subprefecture District)
德累斯顿公社,县,-,-,1000000,德累斯顿副省区 (Dresden Subprefecture District)
苏黎世副公社,县,副省会,-,500000,苏黎世副省区 (Zurich Subprefecture District)
苏黎世公社,县,-,-,1400000,苏黎世副省区 (Zurich Subprefecture District)
鹿特丹副公社,县,副省会,-,500000,鹿特丹副省区 (Rotterdam Subprefecture District)
鹿特丹公社,县,-,-,1200000,鹿特丹副省区 (Rotterdam Subprefecture District)
安特卫普副公社,县,副省会,-,500000,安特卫普副省区 (Antwerp Subprefecture District)
安特卫普公社,县,-,-,1500000,安特卫普副省区 (Antwerp Subprefecture District)
列日副公社,县,副省会,-,500000,列日副省区 (Liege Subprefecture District)
列日公社,县,-,-,900000,列日副省区 (Liege Subprefecture District)
卢森堡副公社,县,副省会,-,500000,卢森堡副省区 (Luxembourg Subprefecture District)
卢森堡公社,县,-,-,500000,卢森堡副省区 (Luxembourg Subprefecture District)
上奥地利公社,县,省会,-,700000,上奥地利省 (Upper Austria Province)
蒂罗尔公社,县,省会,-,700000,蒂罗尔省 (Tyrol Province)
波希米亚公社,县,省会,-,700000,波希米亚省 (Bohemia Province)
布尔诺公社,县,省会,-,700000,摩拉维亚省 (Moravia Province)
布拉迪斯拉发公社,县,省会,-,700000,斯洛伐克省 (Slovakia Province)
佩奇公社,县,省会,-,700000,匈牙利平原省 (Hungarian Plain Province)
卢布尔雅那公社,县,省会,-,700000,斯洛文尼亚省 (Slovenia Province)
克罗地亚沿海公社,县,省会,-,700000,克罗地亚沿海省 (Croatia Coast Province)
萨拉热窝公社,县,省会,-,700000,波斯尼亚省 (Bosnia Province)
锡比乌公社,县,省会,-,700000,特兰西瓦尼亚省 (Transylvania Province)
普洛耶什蒂公社,县,省会,-,700000,瓦拉几亚省 (Wallachia Province)
普列夫利亚公社,县,省会,-,700000,保加利亚北部省 (Northern Bulgaria Province)
索非亚谷地公社,县,省会,-,700000,索非亚谷地省 (Sofia Valley Province)
维也纳公社,县,中心城市,-,1000000,维也纳广域市 (Vienna Metropolitan City)
布拉格公社,县,中心城市,-,1000000,布拉格广域市 (Prague Metropolitan City)
布达佩斯公社,县,中心城市,-,1000000,布达佩斯广域市 (Budapest Metropolitan City)
布加勒斯特公社,县,中心城市,-,1000000,布加勒斯特广域市 (Bucharest Metropolitan City)
贝尔格莱德公社,县,中心城市,-,1000000,贝尔格莱德广域市 (Belgrade Metropolitan City)
布尔诺副公社,县,副省会,-,500000,布尔诺副省区 (Brno Subprefecture District)
布尔诺公社,县,-,-,800000,布尔诺副省区 (Brno Subprefecture District)
布拉迪斯拉发副公社,县,副省会,-,500000,布拉迪斯拉发副省区 (Bratislava Subprefecture District)
布拉迪斯拉发公社,县,-,-,700000,布拉迪斯拉发副省区 (Bratislava Subprefecture District)
佩奇副公社,县,副省会,-,500000,佩奇副省区 (Pécs Subprefecture District)
佩奇公社,县,-,-,600000,佩奇副省区 (Pécs Subprefecture District)
卢布尔雅那副公社,县,副省会,-,500000,卢布尔雅那副省区 (Ljubljana Subprefecture District)
卢布尔雅那公社,县,-,-,550000,卢布尔雅那副省区 (Ljubljana Subprefecture District)
萨拉热窝副公社,县,副省会,-,500000,萨拉热窝副省区 (Sarajevo Subprefecture District)
萨拉热窝公社,县,-,-,700000,萨拉热窝副省区 (Sarajevo Subprefecture District)
锡比乌副公社,县,副省会,-,500000,锡比乌副省区 (Sibiu Subprefecture District)
锡比乌公社,县,-,-,900000,锡比乌副省区 (Sibiu Subprefecture District)
克卢日副公社,县,副省会,-,500000,克卢日副省区 (Cluj Subprefecture District)
克卢日公社,县,-,-,1000000,克卢日副省区 (Cluj Subprefecture District)
普洛耶什蒂副公社,县,副省会,-,500000,普洛耶什蒂副省区 (Ploiesti Subprefecture District)
普洛耶什蒂公社,县,-,-,850000,普洛耶什蒂副省区 (Ploiesti Subprefecture District)
普列夫利亚副公社,县,副省会,-,500000,普列夫利亚副省区 (Pleven Subprefecture District)
普列夫利亚公社,县,-,-,600000,普列夫利亚副省区 (Pleven Subprefecture District)
索非亚公社,县,-,-,1000000,索非亚谷地省 (Sofia Valley Province)
马佐夫舍公社,县,省会,-,700000,马佐夫舍省 (Masovia Province)
波兹南公社,县,省会,-,700000,大波兰省 (Greater Poland Province)
卡托维兹公社,县,省会,-,700000,西里西亚省 (Silesia Province)
克拉科夫公社,县,省会,-,700000,加利西亚省 (Galicia Province)
波德拉谢公社,县,省会,-,700000,波德拉谢省 (Podlasie Province)
热迈蒂亚公社,县,省会,-,700000,热迈蒂亚省 (Samogitia Province)
拉脱维亚公社,县,省会,-,700000,拉脱维亚省 (Latvia Province)
爱沙尼亚公社,县,省会,-,700000,爱沙尼亚省 (Estonia Province)
布列斯特公社,县,省会,-,700000,波列西耶省 (Polesia Province)
切尔尼戈夫公社,县,省会,-,700000,第聂伯河西省 (West Dnieper Province)
基希讷乌公社,县,省会,-,700000,摩尔多瓦省 (Moldova Province)
塞瓦斯托波尔公社,县,省会,-,700000,克里米亚省 (Crimea Province)
华沙公社,县,中心城市,-,1000000,华沙广域市 (Warsaw Metropolitan City)
基辅公社,县,中心城市,-,1000000,基辅广域市 (Kyiv Metropolitan City)
明斯克公社,县,中心城市,-,1000000,明斯克广域市 (Minsk Metropolitan City)
维尔纽斯公社,县,中心城市,-,1000000,维尔纽斯广域市 (Vilnius Metropolitan City)
敖德萨公社,县,中心城市,-,1000000,敖德萨广域市 (Odesa Metropolitan City)
波兹南副公社,县,副省会,-,500000,波兹南副省区 (Poznań Subprefecture District)
波兹南公社,县,-,-,1100000,波兹南副省区 (Poznań Subprefecture District)
卡托维兹副公社,县,副省会,-,500000,卡托维兹副省区 (Katowice Subprefecture District)
卡托维兹公社,县,-,-,1300000,卡托维兹副省区 (Katowice Subprefecture District)
克拉科夫副公社,县,副省会,-,500000,克拉科夫副省区 (Kraków Subprefecture District)
克拉科夫公社,县,-,-,1400000,克拉科夫副省区 (Kraków Subprefecture District)
布列斯特副公社,县,副省会,-,500000,布列斯特副省区 (Brest Subprefecture District)
布列斯特公社,县,-,-,700000,布列斯特副省区 (Brest Subprefecture District)
切尔尼戈夫副公社,县,副省会,-,500000,切尔尼戈夫副省区 (Chernihiv Subprefecture District)
切尔尼戈夫公社,县,-,-,800000,切尔尼戈夫副省区 (Chernihiv Subprefecture District)
基希讷乌副公社,县,副省会,-,500000,基希讷乌副省区 (Chișinău Subprefecture District)
基希讷乌公社,县,-,-,900000,基希讷乌副省区 (Chișinău Subprefecture District)
塞瓦斯托波尔副公社,县,副省会,-,500000,塞瓦斯托波尔副省区 (Sevastopol Subprefecture District)
塞瓦斯托波尔公社,县,-,-,500000,塞瓦斯托波尔副省区 (Sevastopol Subprefecture District)
日德兰公社,县,省会,-,700000,日德兰省 (Jutland Province)
西兰岛公社,县,省会,-,700000,西兰岛省 (Zealand Province)
约塔兰公社,县,省会,-,700000,约塔兰省 (Götaland Province)
斯维阿兰公社,县,省会,-,700000,斯维阿兰省 (Svealand Province)
诺尔兰公社,县,省会,-,700000,诺尔兰省 (Norrland Province)
挪威峡湾公社,县,省会,-,700000,挪威峡湾省 (Norwegian Fjord Province)
特罗姆瑟公社,县,省会,-,700000,特罗姆瑟省 (Tromsø Province)
芬兰湖区公社,县,省会,-,700000,芬兰湖区省 (Finnish Lakes Province)
拉普兰公社,县,省会,-,700000,拉普兰省 (Lapland Province)
冰岛公社,县,省会,-,700000,冰岛省 (Iceland Province)
哥本哈根公社,县,中心城市,-,1000000,哥本哈根广域市 (Copenhagen Metropolitan City)
斯德哥尔摩公社,县,中心城市,-,1000000,斯德哥尔摩广域市 (Stockholm Metropolitan City)
奥斯陆公社,县,中心城市,-,1000000,奥斯陆广域市 (Oslo Metropolitan City)
赫尔辛基公社,县,中心城市,-,1000000,赫尔辛基广域市 (Helsinki Metropolitan City)
日德兰副公社,县,副省会,-,500000,日德兰副省区 (Jutland Subprefecture District)
奥胡斯公社,县,-,-,1100000,日德兰副省区 (Jutland Subprefecture District)
雷克雅未克公社,县,-,-,500000,冰岛省 (Iceland Province)
卡斯蒂利亚公社,县,省会,-,700000,卡斯蒂利亚省 (Castile Province)
塞维利亚公社,县,省会,-,700000,安达卢西亚省 (Andalusia Province)
阿斯图里亚斯公社,县,省会,-,700000,阿斯图里亚斯省 (Asturias Province)
毕尔巴鄂公社,县,省会,-,700000,巴斯克省 (Basque Province)
萨拉戈萨公社,县,省会,-,700000,阿拉贡省 (Aragon Province)
布拉加公社,县,省会,-,700000,葡萄牙北部省 (Northern Portugal Province)
埃武拉公社,县,省会,-,700000,阿连特茹省 (Alentejo Province)
帕尔马公社,县,省会,-,700000,巴利阿里群岛省 (Balearic Islands Province)
马德里公社,县,中心城市,-,1000000,马德里广域市 (Madrid Metropolitan City)
巴塞罗那公社,县,中心城市,-,1000000,巴塞罗那广域市 (Barcelona Metropolitan City)
里斯本公社,县,中心城市,-,1000000,里斯本广域市 (Lisbon Metropolitan City)
波尔图公社,县,中心城市,-,1000000,波尔图广域市 (Porto Metropolitan City)
瓦伦西亚公社,县,中心城市,-,1000000,瓦伦西亚广域市 (Valencia Metropolitan City)
塞维利亚副公社,县,副省会,-,500000,塞维利亚副省区 (Seville Subprefecture District)
塞维利亚公社,县,-,-,1400000,塞维利亚副省区 (Seville Subprefecture District)
毕尔巴鄂副公社,县,副省会,-,500000,毕尔巴鄂副省区 (Bilbao Subprefecture District)
毕尔巴鄂公社,县,-,-,800000,毕尔巴鄂副省区 (Bilbao Subprefecture District)
萨拉戈萨副公社,县,副省会,-,500000,萨拉戈萨副省区 (Zaragoza Subprefecture District)
萨拉戈萨公社,县,-,-,1000000,萨拉戈萨副省区 (Zaragoza Subprefecture District)
布拉加副公社,县,副省会,-,500000,布拉加副省区 (Braga Subprefecture District)
布拉加公社,县,-,-,750000,布拉加副省区 (Braga Subprefecture District)
埃武拉副公社,县,副省会,-,500000,埃武拉副省区 (Évora Subprefecture District)
埃武拉公社,县,-,-,600000,埃武拉副省区 (Évora Subprefecture District)
帕尔马副公社,县,副省会,-,500000,帕尔马副省区 (Palma Subprefecture District)
帕尔马公社,县,-,-,550000,帕尔马副省区 (Palma Subprefecture District)
东南英格兰公社,县,省会,-,700000,东南英格兰省 (South East England Province)
西南英格兰公社,县,省会,-,700000,西南英格兰省 (South West England Province)
约克郡公社,县,省会,-,700000,约克郡省 (Yorkshire Province)
高地与群岛公社,县,省会,-,700000,高地与群岛省 (Highlands and Islands Province)
卡迪夫公社,县,省会,-,700000,威尔士省 (Wales Province)
贝尔法斯特公社,县,省会,-,700000,阿尔斯特省 (Ulster Province)
伦斯特公社,县,省会,-,700000,伦斯特省 (Leinster Province)
科克公社,县,省会,-,700000,芒斯特省 (Munster Province)
戈尔韦公社,县,省会,-,700000,康诺特省 (Connacht Province)
伦敦公社,县,中心城市,-,1000000,伦敦广域市 (London Metropolitan City)
曼彻斯特公社,县,中心城市,-,1000000,曼彻斯特广域市 (Manchester Metropolitan City)
伯明翰公社,县,中心城市,-,1000000,伯明翰广域市 (Birmingham Metropolitan City)
爱丁堡公社,县,中心城市,-,1000000,爱丁堡广域市 (Edinburgh Metropolitan City)
都柏林公社,县,中心城市,-,1000000,都柏林广域市 (Dublin Metropolitan City)
卡迪夫副公社,县,副省会,-,500000,卡迪夫副省区 (Cardiff Subprefecture District)
卡迪夫公社,县,-,-,800000,卡迪夫副省区 (Cardiff Subprefecture District)
贝尔法斯特副公社,县,副省会,-,500000,贝尔法斯特副省区 (Belfast Subprefecture District)
贝尔法斯特公社,县,-,-,900000,贝尔法斯特副省区 (Belfast Subprefecture District)
科克副公社,县,副省会,-,500000,科克副省区 (Cork Subprefecture District)
科克公社,县,-,-,600000,科克副省区 (Cork Subprefecture District)
戈尔韦副公社,县,副省会,-,500000,戈尔韦副省区 (Galway Subprefecture District)
戈尔韦公社,县,-,-,500000,戈尔韦副省区 (Galway Subprefecture District)
