# name,role,age,constituency
奥利维耶·布兰,广域市议会主席,44,巴黎广域市 (Paris Metropolitan City)
让娜·佩罗,都会委员会委员,40,巴黎广域市 (Paris Metropolitan City)

汉斯·克莱默,广域市市长,50,法兰克福广域市 (Frankfurt Metropolitan City)
艾玛·瓦尔特,广域市议会主席,43,法兰克福广域市 (Frankfurt Metropolitan City)
费利克斯·霍恩,都会委员会委员,39,法兰克福广域市 (Frankfurt Metropolitan City)

维拉·霍夫曼,广域市市长,46,维也纳广域市 (Vienna Metropolitan City)
保罗·施奈尔,广域市议会主席,42,维也纳广域市 (Vienna Metropolitan City)
卡塔琳娜·弗朗茨,都会委员会委员,38,维也纳广域市 (Vienna Metropolitan City)

米克尔·汉森,广域市市长,49,哥本哈根广域市 (Copenhagen Metropolitan City)
露易丝·约根森,广域市议会主席,41,哥本哈根广域市 (Copenhagen Metropolitan City)
尼尔斯·拉森,都会委员会委员,37,哥本哈根广域市 (Copenhagen Metropolitan City)

劳拉·维加,广域市市长,45,斯德哥尔摩广域市 (Stockholm Metropolitan City)
埃里克·斯特伦,广域市议会主席,43,斯德哥尔摩广域市 (Stockholm Metropolitan City)
英格丽德·霍尔姆,都会委员会委员,39,斯德哥尔摩广域市 (Stockholm Metropolitan City)
